segment,customers,avg_recency_days,avg_frequency,avg_monetary,total_revenue,avg_order_value,cancelled_orders,customer_share_pct,revenue_share_pct
Potential Loyalist,35,66.22857142857143,2.3142857142857145,178128.57142857142,6234500.0,79811.90476190476,2.0,40.23,36.84
Big Spenders,24,209.625,2.0,256512.5,6156300.0,128256.25,0.0,27.59,36.38
At Risk,6,277.0,2.0,188883.33333333334,1133300.0,94441.66666666667,0.0,6.9,6.7
Hibernating,22,287.6818181818182,1.8636363636363635,154440.9090909091,3397700.0,83629.54545454546,6.0,25.29,20.08
